,Normal,Fire,Water,Electric,Grass,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy
Normal,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Fire,1,½,2,1,½,½,1,1,2,1,1,½,2,1,1,1,½,½
Water,1,½,½,2,2,½,1,1,1,1,1,1,1,1,1,1,½,1
Electric,1,1,1,½,1,1,1,1,2,½,1,1,1,1,1,1,½,1
Grass,1,2,½,½,½,2,1,2,½,2,1,2,1,1,1,1,1,1
Ice,1,2,1,1,1,½,2,1,1,1,1,1,2,1,1,1,2,1
Fighting,1,1,1,1,1,1,1,1,1,2,2,½,½,1,1,½,1,2
Poison,1,1,1,1,½,1,½,½,2,1,2,½,1,1,1,1,1,½
Ground,1,1,2,0,2,2,1,½,1,1,1,1,½,1,1,1,1,1
Flying,1,1,1,2,½,2,½,1,0,1,1,½,2,1,1,1,1,1
Psychic,1,1,1,1,1,1,½,1,1,1,½,2,1,2,1,2,1,1
Bug,1,2,1,1,½,1,½,1,½,2,1,1,2,1,1,1,1,1
Rock,½,½,2,1,2,1,2,½,2,½,1,1,1,1,1,1,2,1
Ghost,0,1,1,1,1,1,0,½,1,1,1,½,1,2,1,2,1,1
Dragon,1,½,½,½,½,2,1,1,1,1,1,1,1,1,2,1,1,2
Dark,1,1,1,1,1,1,2,1,1,1,0,2,1,½,1,½,1,2
Steel,½,2,1,1,½,½,2,0,2,½,½,½,½,1,½,1,½,½
Fairy,1,1,1,1,1,1,½,2,1,1,1,½,1,1,0,½,2,1
