,Description,Label
0,"Using its ability to read minds, it will identify impending danger and TELEPORT to safety.",Abra
1,"Sleeps 18 hours a day. If it senses danger, it will teleport itself to safety even as it sleeps.",Abra
2,It senses impending attacks and TELEPORTS away to safety before the actual attacks can strike.,Abra
3,"If it decides to TELEPORT randomly, it creates the illusion that it has created copies of itself.",Abra
4,"It hypnotizes itself so that it can teleport away when it senses danger, even if it is asleep.",Abra
5,"ABRA sleeps for eighteen hours a day. However, it can sense the presence of foes even while it is sleeping. In such a situation, this POKéMON immediately teleports to safety.",Abra
6,"ABRA needs to sleep for eighteen hours a day. If it doesn’t, this POKéMON loses its ability to use telekinetic powers. If it is attacked, ABRA escapes using TELEPORT while it is still sleeping.",Abra
7,It sleeps for 18 hours a day. It uses a variety of extrasensory powers even while asleep.,Abra
8,"Using its ability to read minds, it will sense impending danger and TELEPORT to safety.",Abra
9,A POKéMON that sleeps 18 hours a day. Observation revealed that it uses TELEPORT to change its location once every hour.,Abra
10,"It sleeps for 18 hours a day. Even when awake, it teleports itself while remaining seated.",Abra
11,"Even while asleep, it maintains a telepathic radar. It teleports when it is threatened.",Abra
12,Using its psychic power is such a strain on its brain that it needs to sleep for 18 hours a day.,Abra
13,It senses impending attacks and teleports away to safety before the actual attacks can strike.,Abra
14,"If it decides to teleport randomly, it evokes the illusion that it has created copies of itself.",Abra
15,Using its psychic power is such a strain on its brain that it needs to sleep for 18 hours a day.,Abra
16,It sleeps for 18 hours a day. It uses a variety of extrasensory powers even while asleep.,Abra
17,It senses impending attacks and teleports away to safety before the actual attacks can strike.,Abra
18,"Abra sleeps for eighteen hours a day. However, it can sense the presence of foes even while it is sleeping. In such a situation, this Pokémon immediately teleports to safety.",Abra
19,"Abra needs to sleep for eighteen hours a day. If it doesn’t, this Pokémon loses its ability to use telekinetic powers. If it is attacked, Abra escapes using Teleport while it is still sleeping.",Abra
20,"It sleeps 18 hours a day. Even while sleeping, it will teleport itself to treetops and pick and eat berries there.",Abra
21,"It can teleport itself to safety while it’s asleep, but when it wakes, it doesn’t know where it is, so it panics.",Abra
22,"It uses various psychic powers even while it’s sleeping, so you can’t tell whether or not it’s awake.",Abra
23,It can read others’ minds and will teleport away when danger approaches. You must clear your mind if you want to catch it.,Abra
24,"Sleeps 18 hours a day. If it senses danger, it will teleport itself to safety even as it sleeps.",Abra
25,This Pokémon uses its psychic powers while it sleeps. The contents of Abra’s dreams affect the powers that the Pokémon wields.,Abra
26,"Abra can teleport in its sleep. Apparently the more deeply Abra sleeps, the farther its teleportations go.",Abra
27,"It sleeps for 18 hours a day. Even when awake, it teleports itself while remaining seated.",Abra
28,"Even while asleep, it maintains a telepathic radar. It teleports when it is threatened.",Abra
29,"Spends 18 hours of the day sleeping. Even while asleep, Abra can control its psychic powers—should danger approach, the Pokémon will simply teleport away.",Abra
30,"Using its ability to read minds, it will identify impending danger and TELEPORT to safety.",Abra
31,"Sleeps 18 hours a day. If it senses danger, it will teleport itself to safety even as it sleeps.",Abra
32,It senses impending attacks and TELEPORTS away to safety before the actual attacks can strike.,Abra
33,"If it decides to TELEPORT randomly, it creates the illusion that it has created copies of itself.",Abra
34,"It hypnotizes itself so that it can teleport away when it senses danger, even if it is asleep.",Abra
35,"ABRA sleeps for eighteen hours a day. However, it can sense the presence of foes even while it is sleeping. In such a situation, this POKéMON immediately teleports to safety.",Abra
36,"ABRA needs to sleep for eighteen hours a day. If it doesn’t, this POKéMON loses its ability to use telekinetic powers. If it is attacked, ABRA escapes using TELEPORT while it is still sleeping.",Abra
37,It sleeps for 18 hours a day. It uses a variety of extrasensory powers even while asleep.,Abra
38,"Using its ability to read minds, it will sense impending danger and TELEPORT to safety.",Abra
39,A POKéMON that sleeps 18 hours a day. Observation revealed that it uses TELEPORT to change its location once every hour.,Abra
40,"It sleeps for 18 hours a day. Even when awake, it teleports itself while remaining seated.",Abra
41,"Even while asleep, it maintains a telepathic radar. It teleports when it is threatened.",Abra
42,Using its psychic power is such a strain on its brain that it needs to sleep for 18 hours a day.,Abra
43,It senses impending attacks and teleports away to safety before the actual attacks can strike.,Abra
44,"If it decides to teleport randomly, it evokes the illusion that it has created copies of itself.",Abra
45,Using its psychic power is such a strain on its brain that it needs to sleep for 18 hours a day.,Abra
46,It sleeps for 18 hours a day. It uses a variety of extrasensory powers even while asleep.,Abra
47,It senses impending attacks and teleports away to safety before the actual attacks can strike.,Abra
48,"Abra sleeps for eighteen hours a day. However, it can sense the presence of foes even while it is sleeping. In such a situation, this Pokémon immediately teleports to safety.",Abra
49,"Abra needs to sleep for eighteen hours a day. If it doesn’t, this Pokémon loses its ability to use telekinetic powers. If it is attacked, Abra escapes using Teleport while it is still sleeping.",Abra
50,"It sleeps 18 hours a day. Even while sleeping, it will teleport itself to treetops and pick and eat berries there.",Abra
51,"It can teleport itself to safety while it’s asleep, but when it wakes, it doesn’t know where it is, so it panics.",Abra
52,"It uses various psychic powers even while it’s sleeping, so you can’t tell whether or not it’s awake.",Abra
53,It can read others’ minds and will teleport away when danger approaches. You must clear your mind if you want to catch it.,Abra
54,"Sleeps 18 hours a day. If it senses danger, it will teleport itself to safety even as it sleeps.",Abra
55,This Pokémon uses its psychic powers while it sleeps. The contents of Abra’s dreams affect the powers that the Pokémon wields.,Abra
56,"Abra can teleport in its sleep. Apparently the more deeply Abra sleeps, the farther its teleportations go.",Abra
57,"It sleeps for 18 hours a day. Even when awake, it teleports itself while remaining seated.",Abra
58,"Even while asleep, it maintains a telepathic radar. It teleports when it is threatened.",Abra
59,"Spends 18 hours of the day sleeping. Even while asleep, Abra can control its psychic powers—should danger approach, the Pokémon will simply teleport away.",Abra
60,"A ferocious, prehistoric POKéMON that goes for the enemy’s throat with its serrated saw-like fangs.",Aerodactyl
61,A savage POKéMON that died out in ancient times. It was resurrected using DNA taken from amber.,Aerodactyl
62,"A vicious POKéMON from the distant past, it appears to have flown by spreading its wings and gliding.",Aerodactyl
63,This vicious POKéMON is said to have flown in ancient skies while shrieking high-pitched cries.,Aerodactyl
64,"In prehistoric times, this POKéMON flew freely and fearlessly through the skies.",Aerodactyl
65,AERODACTYL is a POKéMON from the age of dinosaurs. It was regenerated from genetic material extracted from amber. It is imagined to have been the king of the skies in ancient times.,Aerodactyl
