id,dex_id,name,image,primary_type,secondary_type,is_mega
1,1,Bulbasaur,https://projectpokemon.org/images/normal-sprite/bulbasaur.gif,Grass,Poison,0
2,2,Ivysaur,https://projectpokemon.org/images/normal-sprite/ivysaur.gif,Grass,Poison,0
3,3,Venusaur,https://projectpokemon.org/images/normal-sprite/venusaur-f.gif,Grass,Poison,0
4,3,Mega Venusaur,,Grass,Poison,1
5,4,Charmander,https://projectpokemon.org/images/normal-sprite/charmander.gif,Fire,NULL,0
6,5,Charmeleon,https://projectpokemon.org/images/normal-sprite/charmeleon.gif,Fire,NULL,0
7,6,Charizard,https://projectpokemon.org/images/normal-sprite/charizard.gif,Fire,Flying,0
8,6,Mega Charizard X,,Fire,Dragon,1
9,6,Mega Charizard Y,,Fire,Flying,1
10,7,Squirtle,https://projectpokemon.org/images/normal-sprite/squirtle.gif,Water,NULL,0
11,8,Wartortle,https://projectpokemon.org/images/normal-sprite/wartortle.gif,Water,NULL,0
12,9,Blastoise,https://projectpokemon.org/images/normal-sprite/blastoise.gif,Water,NULL,0
13,9,Mega Blastoise,,Water,NULL,1
14,10,Caterpie,https://projectpokemon.org/images/normal-sprite/caterpie.gif,Bug,NULL,0
15,11,Metapod,https://projectpokemon.org/images/normal-sprite/metapod.gif,Bug,NULL,0
16,12,Butterfree,https://projectpokemon.org/images/normal-sprite/butterfree-f.gif,Bug,Flying,0
17,13,Weedle,https://projectpokemon.org/images/normal-sprite/weedle.gif,Bug,Poison,0
18,14,Kakuna,https://projectpokemon.org/images/normal-sprite/kakuna.gif,Bug,Poison,0
19,15,Beedrill,https://projectpokemon.org/images/normal-sprite/beedrill.gif,Bug,Poison,0
20,15,Mega Beedrill,,Bug,Poison,1
21,16,Pidgey,https://projectpokemon.org/images/normal-sprite/pidgey.gif,Normal,Flying,0
22,17,Pidgeotto,https://projectpokemon.org/images/normal-sprite/pidgeotto.gif,Normal,Flying,0
23,18,Pidgeot,https://projectpokemon.org/images/normal-sprite/pidgeot.gif,Normal,Flying,0
24,18,Mega Pidgeot,,Normal,Flying,1
25,19,Rattata,https://projectpokemon.org/images/normal-sprite/rattata-f.gif,Normal,NULL,0
26,19,Alolan Rattata,,Dark,Normal,1
27,20,Raticate,https://projectpokemon.org/images/normal-sprite/raticate-f.gif,Normal,NULL,0
28,20,Alolan Raticate,,Dark,Normal,1
29,21,Spearow,https://projectpokemon.org/images/normal-sprite/spearow.gif,Normal,Flying,0
30,22,Fearow,https://projectpokemon.org/images/normal-sprite/fearow.gif,Normal,Flying,0
31,23,Ekans,https://projectpokemon.org/images/normal-sprite/ekans.gif,Poison,NULL,0
32,24,Arbok,https://projectpokemon.org/images/normal-sprite/arbok.gif,Poison,NULL,0
33,25,Pikachu,https://projectpokemon.org/images/normal-sprite/pikachu.gif,Electric,NULL,0
34,25,Partner Pikachu,,Electric,NULL,1
35,26,Raichu,https://projectpokemon.org/images/normal-sprite/raichu.gif,Electric,NULL,0
36,26,Alolan Raichu,,Electric,Psychic,1
37,27,Sandshrew,https://projectpokemon.org/images/normal-sprite/sandshrew.gif,Ground,NULL,0
38,27,Alolan Sandshrew,,Ice,Steel,1
39,28,Sandslash,https://projectpokemon.org/images/normal-sprite/sandslash.gif,Ground,NULL,0
40,28,Alolan Sandslash,,Ice,Steel,1
41,29,Nidoran♀,https://projectpokemon.org/images/normal-sprite/nidoran_f.gif,Poison,NULL,0
42,30,Nidorina,https://projectpokemon.org/images/normal-sprite/nidorina.gif,Poison,NULL,0
43,31,Nidoqueen,https://projectpokemon.org/images/normal-sprite/nidoqueen.gif,Poison,Ground,0
44,32,Nidoran♂,https://projectpokemon.org/images/normal-sprite/nidoran_m.gif,Poison,NULL,0
45,33,Nidorino,https://projectpokemon.org/images/normal-sprite/nidorino.gif,Poison,NULL,0
46,34,Nidoking,https://projectpokemon.org/images/normal-sprite/nidoking.gif,Poison,Ground,0
47,35,Clefairy,https://projectpokemon.org/images/normal-sprite/clefairy.gif,Fairy,NULL,0
48,36,Clefable,https://projectpokemon.org/images/normal-sprite/clefable.gif,Fairy,NULL,0
49,37,Vulpix,https://projectpokemon.org/images/normal-sprite/vulpix.gif,Fire,NULL,0
50,37,Alolan Vulpix,,Ice,NULL,1
51,38,Ninetales,https://projectpokemon.org/images/normal-sprite/ninetales.gif,Fire,NULL,0
52,38,Alolan Ninetales,,Ice,Fairy,1
53,39,Jigglypuff,https://projectpokemon.org/images/normal-sprite/jigglypuff.gif,Normal,Fairy,0
54,40,Wigglytuff,https://projectpokemon.org/images/normal-sprite/wigglytuff.gif,Normal,Fairy,0
55,41,Zubat,https://projectpokemon.org/images/normal-sprite/zubat.gif,Poison,Flying,0
56,42,Golbat,https://projectpokemon.org/images/normal-sprite/golbat.gif,Poison,Flying,0
57,43,Oddish,https://projectpokemon.org/images/normal-sprite/oddish.gif,Grass,Poison,0
58,44,Gloom,https://projectpokemon.org/images/normal-sprite/gloom.gif,Grass,Poison,0
59,45,Vileplume,https://projectpokemon.org/images/normal-sprite/vileplume.gif,Grass,Poison,0
60,46,Paras,https://projectpokemon.org/images/normal-sprite/paras.gif,Bug,Grass,0
61,47,Parasect,https://projectpokemon.org/images/normal-sprite/parasect.gif,Bug,Grass,0
62,48,Venonat,https://projectpokemon.org/images/normal-sprite/venonat.gif,Bug,Poison,0
63,49,Venomoth,https://projectpokemon.org/images/normal-sprite/venomoth.gif,Bug,Poison,0
64,50,Diglett,https://projectpokemon.org/images/normal-sprite/diglett.gif,Ground,NULL,0
65,50,Alolan Diglett,,Ground,Steel,1
66,51,Dugtrio,https://projectpokemon.org/images/normal-sprite/dugtrio.gif,Ground,NULL,0
67,51,Alolan Dugtrio,,Ground,Steel,1
68,52,Meowth,https://projectpokemon.org/images/normal-sprite/meowth.gif,Normal,NULL,0
69,52,Alolan Meowth,,Dark,NULL,1
70,52,Galarian Meowth,,Steel,NULL,1
71,53,Persian,https://projectpokemon.org/images/normal-sprite/persian.gif,Normal,NULL,0
72,53,Alolan Persian,,Dark,NULL,1
73,54,Psyduck,https://projectpokemon.org/images/normal-sprite/psyduck.gif,Water,NULL,0
74,55,Golduck,https://projectpokemon.org/images/normal-sprite/golduck.gif,Water,NULL,0
75,56,Mankey,https://projectpokemon.org/images/normal-sprite/mankey.gif,Fighting,NULL,0
76,57,Primeape,https://projectpokemon.org/images/normal-sprite/primeape.gif,Fighting,NULL,0
77,58,Growlithe,https://projectpokemon.org/images/normal-sprite/growlithe.gif,Fire,NULL,0
78,58,Hisuian Growlithe,,Fire,Rock,1
79,59,Arcanine,https://projectpokemon.org/images/normal-sprite/arcanine.gif,Fire,NULL,0
80,59,Hisuian Arcanine,,Fire,Rock,1
81,60,Poliwag,https://projectpokemon.org/images/normal-sprite/poliwag.gif,Water,NULL,0
82,61,Poliwhirl,https://projectpokemon.org/images/normal-sprite/poliwhirl.gif,Water,NULL,0
83,62,Poliwrath,https://projectpokemon.org/images/normal-sprite/poliwrath.gif,Water,Fighting,0
